timestamp	variant	stem	operating_point	conf	gate	duty_fps	k	n	rip_videos	rip_alarmed_frac	latency_median_s	latency_p90_s	norip_videos	norip_alarmed_frac	norip_hours	false_alarms_per_hour	video_F2	frames_kept_frac	detector_runs_frac
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	event-F2	0.02	off	5.0	2	3	31	0.742	0.0	1.3	40	0.375	0.28	66.85	0.710	0.972	0.972
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	event-F2	0.02	off	1.0	1	1	31	0.774	0.0	2.7	40	0.400	0.28	66.85	0.732	0.206	0.206
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	event-F2	0.02	off	1.0	2	3	31	0.710	0.0	4.7	40	0.225	0.28	38.70	0.710	0.206	0.206
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	event-F2	0.02	off	0.5	1	1	31	0.742	0.0	4.6	40	0.300	0.28	49.26	0.723	0.105	0.105
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	event-F2	0.02	off	0.5	2	3	31	0.677	0.0	6.4	40	0.200	0.28	31.67	0.686	0.105	0.105
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	event-F2	0.02	off	0.2	1	1	31	0.677	0.0	5.0	40	0.225	0.28	45.74	0.682	0.044	0.044
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	event-F2	0.02	off	0.2	2	3	31	0.613	0.0	1.6	40	0.175	0.28	24.63	0.633	0.044	0.044
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	event-F2	0.02	0.50	5.0	1	1	31	0.774	0.0	3.5	40	0.175	0.28	31.67	0.774	0.972	0.457
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	event-F2	0.02	0.50	5.0	2	3	31	0.742	0.0	3.8	40	0.150	0.28	28.15	0.752	0.972	0.457
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	event-F2	0.02	0.50	1.0	1	1	31	0.774	0.0	4.4	40	0.175	0.28	31.67	0.774	0.206	0.095
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	event-F2	0.02	0.50	1.0	2	3	31	0.677	0.0	4.8	40	0.100	0.28	17.59	0.705	0.206	0.095
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	event-F2	0.02	0.50	0.5	1	1	31	0.710	0.0	4.7	40	0.150	0.28	24.63	0.724	0.105	0.048
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	event-F2	0.02	0.50	0.5	2	3	31	0.645	0.0	7.4	40	0.100	0.28	17.59	0.676	0.105	0.048
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	event-F2	0.02	0.50	0.2	1	1	31	0.677	0.0	5.0	40	0.125	0.28	28.15	0.700	0.044	0.020
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	event-F2	0.02	0.50	0.2	2	3	31	0.581	0.0	2.4	40	0.100	0.28	14.07	0.616	0.044	0.020
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	frame-F2	0.04	off	5.0	1	1	31	0.774	0.0	4.4	40	0.400	0.28	77.40	0.732	0.972	0.972
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	frame-F2	0.04	off	5.0	2	3	31	0.710	0.0	4.3	40	0.350	0.28	63.33	0.688	0.972	0.972
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	frame-F2	0.04	off	1.0	1	1	31	0.710	0.0	3.9	40	0.350	0.28	59.81	0.688	0.206	0.206
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	frame-F2	0.04	off	1.0	2	3	31	0.677	0.0	5.0	40	0.225	0.28	31.67	0.682	0.206	0.206
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	frame-F2	0.04	off	0.5	1	1	31	0.710	0.0	3.9	40	0.250	0.28	45.74	0.705	0.105	0.105
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	frame-F2	0.04	off	0.5	2	3	31	0.677	0.0	5.0	40	0.150	0.28	21.11	0.695	0.105	0.105
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	frame-F2	0.04	off	0.2	1	1	31	0.710	0.0	7.7	40	0.175	0.28	24.63	0.719	0.044	0.044
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	frame-F2	0.04	off	0.2	2	3	31	0.613	0.0	11.0	40	0.125	0.28	17.59	0.642	0.044	0.044
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	frame-F2	0.04	0.50	5.0	1	1	31	0.710	0.0	3.8	40	0.125	0.28	28.15	0.728	0.972	0.457
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	frame-F2	0.04	0.50	5.0	2	3	31	0.677	0.0	4.4	40	0.100	0.28	14.07	0.705	0.972	0.457
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	frame-F2	0.04	0.50	1.0	1	1	31	0.677	0.0	4.0	40	0.100	0.28	14.07	0.705	0.206	0.095
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	frame-F2	0.04	0.50	1.0	2	3	31	0.645	0.0	5.1	40	0.050	0.28	7.04	0.685	0.206	0.095
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	frame-F2	0.04	0.50	0.5	1	1	31	0.645	0.0	3.4	40	0.075	0.28	10.56	0.680	0.105	0.048
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	frame-F2	0.04	0.50	0.5	2	3	31	0.645	0.0	5.1	40	0.050	0.28	7.04	0.685	0.105	0.048
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	frame-F2	0.04	0.50	0.2	1	1	31	0.677	0.0	8.0	40	0.050	0.28	7.04	0.714	0.044	0.020
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	frame-F2	0.04	0.50	0.2	2	3	31	0.548	0.0	6.0	40	0.050	0.28	7.04	0.594	0.044	0.020
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	event-F2	0.02	off	5.0	1	1	31	0.806	0.0	4.2	40	0.550	0.28	105.55	0.731	0.972	0.972
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	event-F2	0.02	off	5.0	2	3	31	0.774	0.0	4.6	40	0.400	0.28	77.40	0.732	0.972	0.972
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	event-F2	0.02	off	1.0	1	1	31	0.742	0.0	4.8	40	0.400	0.28	77.40	0.706	0.206	0.206
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	event-F2	0.02	off	1.0	2	3	31	0.677	0.0	4.1	40	0.275	0.28	49.26	0.673	0.206	0.206
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	event-F2	0.02	off	0.5	1	1	31	0.742	0.0	5.6	40	0.300	0.28	59.81	0.723	0.105	0.105
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	event-F2	0.02	off	0.5	2	3	31	0.677	0.0	5.0	40	0.200	0.28	28.15	0.686	0.105	0.105
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	event-F2	0.02	off	0.2	1	1	31	0.742	0.0	5.0	40	0.225	0.28	35.18	0.737	0.044	0.044
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	event-F2	0.02	off	0.2	2	3	31	0.645	0.0	8.5	40	0.150	0.28	21.11	0.667	0.044	0.044
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	event-F2	0.02	0.50	5.0	1	1	31	0.742	0.0	3.4	40	0.175	0.28	35.18	0.747	0.972	0.457
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	event-F2	0.02	0.50	5.0	2	3	31	0.710	0.0	3.8	40	0.125	0.28	21.11	0.728	0.972	0.457
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	event-F2	0.02	0.50	1.0	1	1	31	0.677	0.0	4.0	40	0.100	0.28	21.11	0.705	0.206	0.095
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	event-F2	0.02	0.50	1.0	2	3	31	0.645	0.0	4.8	40	0.075	0.28	14.07	0.680	0.206	0.095
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	event-F2	0.02	0.50	0.5	1	1	31	0.645	0.0	3.4	40	0.075	0.28	14.07	0.680	0.105	0.048
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	event-F2	0.02	0.50	0.5	2	3	31	0.645	0.0	5.1	40	0.075	0.28	10.56	0.680	0.105	0.048
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	event-F2	0.02	0.50	0.2	1	1	31	0.677	0.0	5.0	40	0.075	0.28	10.56	0.709	0.044	0.020
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s1_best_e2	event-F2	0.02	0.50	0.2	2	3	31	0.613	0.0	8.6	40	0.050	0.28	7.04	0.655	0.044	0.020
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s2_best_e2	frame-F2	0.06	off	5.0	1	1	31	0.710	0.0	4.2	40	0.450	0.28	77.40	0.671	0.972	0.972
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s2_best_e2	frame-F2	0.06	off	5.0	2	3	31	0.710	0.0	4.4	40	0.400	0.28	66.85	0.679	0.972	0.972
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s2_best_e2	frame-F2	0.06	off	1.0	1	1	31	0.645	0.0	6.5	40	0.375	0.28	66.85	0.629	0.206	0.206
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s2_best_e2	frame-F2	0.06	off	1.0	2	3	31	0.548	0.0	4.8	40	0.300	0.28	49.26	0.556	0.206	0.206
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s2_best_e2	frame-F2	0.06	off	0.5	1	1	31	0.613	0.0	8.8	40	0.325	0.28	59.81	0.609	0.105	0.105
2026-08-27 10:24	yolo26n dense	t1_nano_k025_t024_s1_n_s2_best_e2	frame-F2	0.06	off	0.5	2	3	31	0.548	0.0	14.8	40	0.200	0.28	35.18	0.570	0.105	0.105
